length,time,time_mean,time_stdev,algo
100,0.003935098648071289,0.0038511133193969726,0.0021702897417964218,SHA512
100,0.0037622451782226562,0.004012195269266764,0.002395789626663351,SHA256
320,0.0034558773040771484,0.004487765630086263,0.008139989793875984,MD5
100,0.003133058547973633,0.003932485580444336,0.001385060846102459,SHA256
320,0.004624128341674805,0.003850959142049154,0.0010257358387172984,SHA256
320,0.003172159194946289,0.0041356317202250175,0.003768723963081479,SHA512
10,0.003728151321411133,0.003939351240793864,0.0025781485189095396,MD5
32,0.0045928955078125,0.003889067173004151,0.001439180610909967,SHA256
1000,0.003233909606933593,0.004207499821980794,0.004110356620798728,SHA512
1000,0.0032520294189453125,0.004027610619862875,0.003792700392839124,SHA512
1000,0.003931760787963867,0.004177681605021159,0.0040640677734008965,SHA256
32,0.0032978057861328125,0.003985385100046794,0.00345168467479066,MD5
320,0.003075122833251953,0.003914144039154053,0.0028935052425400607,MD5
32,0.003226280212402344,0.003796735604604085,0.0010404859357032296,SHA256
10,0.0036509037017822266,0.0039794596036275215,0.0027076211649259643,SHA512
100,0.003943920135498047,0.003943881988525391,0.0012905597434367405,SHA256
10,0.0033659934997558594,0.004357270399729411,0.005723140878857352,MD5
320,0.007774829864501953,0.004254761536916097,0.007750901327836694,MD5
320,0.003534078598022461,0.00406790018081665,0.004122427489371954,SHA512
100,0.003230810165405273,0.003818667729695638,0.002404559963096495,SHA512
10,0.005095005035400391,0.004113966623942057,0.002388804145467277,SHA256
100,0.003196001052856445,0.0038354619344075523,0.0016278161238981732,SHA512
320,0.004405021667480469,0.0039167888959248855,0.0026665624378305612,MD5
1000,0.003674030303955078,0.0040050284067789715,0.0023529926999720035,MD5
32,0.003206968307495117,0.004011611938476562,0.0024204483771839732,SHA256
32,0.0032351016998291016,0.00400665283203125,0.003569055470246308,SHA512
1000,0.00329279899597168,0.003918339411417643,0.0021795900043360093,SHA512
10,0.003942251205444336,0.004716078440348308,0.015832058377530326,SHA256
10,0.003242015838623047,0.003740304311116537,0.0018280799419087559,SHA512
320,0.003464937210083008,0.003903927803039551,0.00217496933352816,MD5
100,0.005155801773071289,0.003914568424224853,0.001683879509170415,SHA256
100,0.00321197509765625,0.003917430241902668,0.0022210381389236003,MD5
100,0.003319978713989258,0.003993662198384603,0.002589073896066702,SHA256
320,0.003956794738769531,0.0044438425699869786,0.008333239977065969,SHA512
320,0.003909111022949219,0.003993786176045735,0.002305547486138111,SHA256
32,0.003359079360961914,0.003974017302195231,0.0035742159798763306,MD5
10,0.005126953125,0.00410025676091512,0.004967921646538697,SHA512
100,0.0038170814514160156,0.004015301863352458,0.003342404831831485,SHA512
32,0.003273963928222656,0.004121186733245849,0.0031927881100094267,MD5
320,0.003779888153076172,0.0041232721010843925,0.002564041735250873,MD5
1000,0.004150152206420898,0.004534246921539306,0.005245270844408397,SHA256
100,0.0034809112548828125,0.0041155338287353505,0.00252493953275298,SHA256
320,0.003365755081176758,0.003873712221781413,0.0019032191669868558,SHA256
320,0.003206729888916016,0.0038075526555379226,0.0015260429686629535,MD5
32,0.0036077499389648438,0.00377336581548055,0.0020464819036978233,SHA512
320,0.004493951797485352,0.0038529340426127117,0.002756963809927597,SHA512
10,0.0032799243927001953,0.003824348449707031,0.0010193356597862594,SHA256
32,0.003201007843017578,0.004257605075836181,0.003859565167412787,MD5
100,0.003531932830810547,0.004000643094380697,0.002267892885340507,MD5
320,0.0034329891204833984,0.004117714564005535,0.002818805554960186,SHA256
10,0.0032958984375,0.0043481032053629565,0.0037776578327974133,SHA256
10,0.003088951110839844,0.0038618826866149898,0.002364383390965203,MD5
1000,0.003877878189086914,0.004430943330128986,0.005442444989701769,MD5
320,0.003196001052856445,0.004003598690032959,0.0021575645270891625,SHA256
1000,0.00356292724609375,0.003954034646352132,0.0032573561666257673,SHA512
1000,0.003165721893310547,0.0038170417149861655,0.0013244455939979492,MD5
100,0.003400087356567383,0.0039883192380269356,0.0018313034679762602,SHA256
10,0.002977132797241211,0.004785295327504476,0.015814100403324486,SHA256
10,0.003205060958862305,0.0039055307706197103,0.001219489076567054,SHA256
320,0.004166126251220703,0.003836371103922526,0.0011297174038727175,SHA256
32,0.0034279823303222656,0.003942505518595377,0.0017001230132866168,SHA256
10,0.003085136413574219,0.004071688652038575,0.0031541204222615853,MD5
32,0.0032939910888671875,0.004212609926859538,0.00368435952693689,SHA512
320,0.003407001495361328,0.003934608300526937,0.0012524255095913493,SHA256
32,0.003133058547973633,0.003946144580841065,0.0026927260707108325,MD5
100,0.003651857376098633,0.004203502337137858,0.0031093427289008665,SHA256
10,0.0036628246307373047,0.0039077639579772954,0.002908690133346959,MD5
